OrderID,OrderDate,CustomerID,CustomerName,Country,ProductID,ProductCategory,ProductName,Quantity,UnitPrice,TotalPrice,SalesRegion
1,3/18/2020,1,Chip Thrower,Indonesia,1,Beauty Products,Fettuccine Alfredo Dinner Kit,53,1410.3,74745.9,error: undefined method `first' for nil:NilClass
2,2/11/2026,2,Aldric Rimington,Venezuela,2,Pet Supplies,Personal Safety Alarm,100,1210.36,121036,error: undefined method `first' for nil:NilClass
3,8/25/2021,3,Lay Grantham,Philippines,3,Clothing,Frozen Spinach,12,667.23,8006.76,error: undefined method `first' for nil:NilClass
4,9/28/2022,4,Freddi Norcliffe,Mali,4,Beauty Products,Tortilla Chips,56,1925.65,107836.4,error: undefined method `first' for nil:NilClass
5,8/16/2023,5,Florence Dovidian,Indonesia,5,Pet Supplies,Organic Black Beans,23,1632.54,37548.42,error: undefined method `first' for nil:NilClass
6,3/30/2022,6,Conrade Shatliff,Vietnam,6,Electronics,Reversible Comforter Set,34,224.98,7649.32,error: undefined method `first' for nil:NilClass
7,6/27/2023,7,Audy Gready,China,7,Beauty Products,Chicken Salad Kit,91,1150.17,104665.47,error: undefined method `first' for nil:NilClass
8,6/7/2025,8,Chandal Duffree,Indonesia,8,Beauty Products,Vegetable Curry,54,1366.78,73806.12,error: undefined method `first' for nil:NilClass
9,4/30/2025,9,Kinna Hurnell,Philippines,9,Clothing,Portable Solar Phone Charger,35,1603.86,56135.1,error: undefined method `first' for nil:NilClass
10,3/12/2024,10,Valentino Isakowicz,Ukraine,10,Pet Supplies,Chiffon Blouse,2,136.47,272.94,error: undefined method `first' for nil:NilClass
11,10/25/2023,11,Ardys Durrance,Sweden,11,Electronics,Spicy Tuna Sushi Kit,43,1101.35,47358.05,error: undefined method `first' for nil:NilClass
12,1/12/2020,12,Lavena Delahunt,Poland,12,Beauty Products,Watering Can with Nozzle,32,1476.56,47249.92,error: undefined method `first' for nil:NilClass
13,10/19/2021,13,Serene Kohen,Portugal,13,Electronics,Athletic Jogging Jacket,33,873.36,28820.88,error: undefined method `first' for nil:NilClass
14,5/14/2021,14,Shaylyn Joseland,Argentina,14,Pet Supplies,Wireless Earbuds Case,53,14.86,787.58,error: undefined method `first' for nil:NilClass
15,7/27/2021,15,Gianni Trask,Poland,15,Home Decor,Kid's Fruit Snacks,68,50.79,3453.72,error: undefined method `first' for nil:NilClass
16,12/21/2025,16,Randall Marti,Portugal,16,Pet Supplies,Children's Musical Instrument Set,63,645.32,40655.16,error: undefined method `first' for nil:NilClass
17,2/27/2025,17,Nye Honig,China,17,Electronics,Electric Food Slicer,6,322.71,1936.26,error: undefined method `first' for nil:NilClass
18,10/12/2022,18,Silas Crighton,Japan,18,Home Decor,Ricotta Cheese,48,1854.98,89039.04,error: undefined method `first' for nil:NilClass
19,11/7/2020,19,Allan Bale,Kuwait,19,Beauty Products,Mechanical Keyboard,31,949.36,29430.16,error: undefined method `first' for nil:NilClass
20,12/4/2021,20,Max Erwin,Sweden,20,Outdoor Gear,Sliced Bread,75,876.03,65702.25,error: undefined method `first' for nil:NilClass
21,2/4/2020,21,Joan Chown,China,21,Beauty Products,Face Mask Set,75,965.38,72403.5,error: undefined method `first' for nil:NilClass
22,10/15/2025,22,Etienne Saipy,Serbia,22,Clothing,Memory Foam Mattress Pad,91,1211.77,110271.07,error: undefined method `first' for nil:NilClass
23,9/11/2022,23,Cissiee Lloyd,Ghana,23,Electronics,Foot Massager Machine,17,743.1,12632.7,error: undefined method `first' for nil:NilClass
24,1/9/2024,24,Dixie Archibould,Russia,24,Clothing,Board Game Storage,65,498.53,32404.45,error: undefined method `first' for nil:NilClass
25,5/14/2025,25,Mallissa Baudic,Greece,25,Home Decor,Smart Thermos,10,452.71,4527.1,error: undefined method `first' for nil:NilClass
26,6/8/2020,26,Eryn Bichard,Philippines,26,Outdoor Gear,Sweet Corn Fritters,66,760.26,50177.16,error: undefined method `first' for nil:NilClass
27,10/9/2024,27,Guntar Varfolomeev,Sweden,27,Electronics,Smart Scale,59,870.49,51358.91,error: undefined method `first' for nil:NilClass
28,7/10/2020,28,Archibaldo Lidgey,Poland,28,Home Decor,3D Night Light,11,683.29,7516.19,error: undefined method `first' for nil:NilClass
29,2/17/2025,29,Vivianne Leyland,China,29,Pet Supplies,Chino Shorts,33,236.23,7795.59,error: undefined method `first' for nil:NilClass
30,4/28/2020,30,Minnaminnie Hartshorne,Argentina,30,Clothing,Peach Green Tea,11,71.09,781.99,error: undefined method `first' for nil:NilClass
31,10/16/2026,31,Luciana Van't Hoff,Saint Pierre and Miquelon,31,Outdoor Gear,Beef Stroganoff Mix,18,1339.17,24105.06,error: undefined method `first' for nil:NilClass
32,12/2/2023,32,Hynda Ryce,Mauritius,32,Pet Supplies,Cranberry Orange Oatmeal,98,1245.5,122059,error: undefined method `first' for nil:NilClass
33,8/22/2022,33,Wolfgang Praundlin,Indonesia,33,Pet Supplies,Smart Thermostat,66,221.53,14620.98,error: undefined method `first' for nil:NilClass
34,11/7/2022,34,Dimitry Phythien,Philippines,34,Pet Supplies,Sesame Garlic Stir-Fry Sauce,17,1773.43,30148.31,error: undefined method `first' for nil:NilClass
35,10/6/2021,35,Cathlene Gianninotti,Uganda,35,Home Decor,Yoga Strap,92,1462.23,134525.16,error: undefined method `first' for nil:NilClass
36,11/17/2026,36,Obed Rickson,Serbia,36,Electronics,Oven-Baked Chicken Tenders,15,273.98,4109.7,error: undefined method `first' for nil:NilClass
37,10/8/2023,37,Dulcea Laddle,China,37,Electronics,Chipotle Seasoning Blend,70,1358.33,95083.1,error: undefined method `first' for nil:NilClass
38,1/17/2024,38,Joann Moughtin,Ivory Coast,38,Pet Supplies,Pumpkin Seeds,28,1210.92,33905.76,error: undefined method `first' for nil:NilClass
39,9/25/2022,39,Ora Pieters,Canada,39,Pet Supplies,Indoor Plants,94,1419.88,133468.72,error: undefined method `first' for nil:NilClass
40,11/22/2023,40,Cookie Herion,Poland,40,Pet Supplies,Cranberry Orange Oatmeal,66,741.19,48918.54,error: undefined method `first' for nil:NilClass
41,5/13/2023,41,Shayne Stucke,Indonesia,41,Beauty Products,Plant-Based Cookbook,49,125.44,6146.56,error: undefined method `first' for nil:NilClass
42,8/4/2024,42,Terri-jo Greeveson,Indonesia,42,Outdoor Gear,Fruit & Nut Trail Mix,69,1068.14,73701.66,error: undefined method `first' for nil:NilClass
43,12/21/2021,43,Sorcha Chamberlain,Philippines,43,Outdoor Gear,Heavy-Duty Utility Tote,87,393.18,34206.66,error: undefined method `first' for nil:NilClass
44,6/23/2025,44,Ebenezer Torricina,Cyprus,44,Home Decor,Pet Nail Clipper,33,336.57,11106.81,error: undefined method `first' for nil:NilClass
45,4/10/2022,45,Abra Fuente,Jamaica,45,Outdoor Gear,Peach Slices (canned),9,807.75,7269.75,error: undefined method `first' for nil:NilClass
46,2/25/2026,46,Nicholas Cowlin,Czech Republic,46,Home Decor,Portable Solar Phone Charger,61,1721.76,105027.36,error: undefined method `first' for nil:NilClass
47,11/27/2025,47,Curcio Heathcote,China,47,Home Decor,Butternut Squash Soup,41,180.77,7411.57,error: undefined method `first' for nil:NilClass
48,7/26/2020,48,Nana Blacklidge,Poland,48,Electronics,Garlic Herb Marinade,42,125.91,5288.22,error: undefined method `first' for nil:NilClass
49,10/18/2021,49,Sonnie Raxworthy,Philippines,49,Outdoor Gear,Tortilla Chips,86,1356.96,116698.56,error: undefined method `first' for nil:NilClass
50,2/24/2025,50,Roseline Fryatt,France,50,Beauty Products,Honey Garlic Chicken,20,1574,31480,error: undefined method `first' for nil:NilClass
51,1/15/2022,51,Broddie Stears,Indonesia,51,Clothing,Peach Salsa,10,1486.4,14864,error: undefined method `first' for nil:NilClass
52,9/15/2022,52,Rosaline Bremner,Honduras,52,Beauty Products,Sporty Cap,12,1853.04,22236.48,error: undefined method `first' for nil:NilClass
53,4/27/2026,53,Jannelle Runciman,Czech Republic,53,Outdoor Gear,Lightweight Rain Jacket,31,719.78,22313.18,error: undefined method `first' for nil:NilClass
54,12/30/2020,54,Colet Iannelli,Russia,54,Beauty Products,Mayonnaise,28,1067.23,29882.44,error: undefined method `first' for nil:NilClass
55,10/17/2025,55,Sadella Fury,Sweden,55,Clothing,Vegetable Stock,71,1031.91,73265.61,error: undefined method `first' for nil:NilClass
56,9/21/2023,56,Barrett Matzl,Morocco,56,Beauty Products,Peanut Butter,33,328.09,10826.97,error: undefined method `first' for nil:NilClass
57,5/22/2025,57,Basilio Hartin,Indonesia,57,Pet Supplies,Herbal Tea Infuser,32,1821.13,58276.16,error: undefined method `first' for nil:NilClass
58,1/31/2026,58,Manda Land,Philippines,58,Clothing,Vegan Chocolate Cake Mix,17,1312.12,22306.04,error: undefined method `first' for nil:NilClass
59,3/12/2024,59,Marge Venneur,Indonesia,59,Electronics,Wild Rice & Quinoa Mix,36,1354.13,48748.68,error: undefined method `first' for nil:NilClass
60,8/17/2022,60,Babb Babbidge,Colombia,60,Clothing,Chewy Granola Bars,96,735.45,70603.2,error: undefined method `first' for nil:NilClass
61,1/19/2022,61,Lucila Katzmann,New Caledonia,61,Home Decor,Instant Mashed Potatoes,79,1375.91,108696.89,error: undefined method `first' for nil:NilClass
62,6/3/2023,62,Anne-corinne Benny,Sierra Leone,62,Electronics,Deluxe First Aid Kit,58,851.61,49393.38,error: undefined method `first' for nil:NilClass
63,12/20/2026,63,Hy Burtwell,China,63,Beauty Products,Folding Exercise Bike,72,1221.06,87916.32,error: undefined method `first' for nil:NilClass
64,9/30/2026,64,Isahella Mosco,China,64,Pet Supplies,LED Makeup Mirror,21,1335.16,28038.36,error: undefined method `first' for nil:NilClass
65,10/21/2022,65,Bud Rowlands,China,65,Beauty Products,Inflatable Paddle Board,90,13.28,1195.2,error: undefined method `first' for nil:NilClass
66,11/5/2025,66,Aeriela Moller,Yemen,66,Pet Supplies,Children's Garden Tool Set,16,1315.81,21052.96,error: undefined method `first' for nil:NilClass
67,6/9/2022,67,Joete Dyment,China,67,Clothing,Comfortable Bed Pillow,42,1041.53,43744.26,error: undefined method `first' for nil:NilClass
68,2/3/2020,68,Read Kitman,Russia,68,Electronics,Couscous Mix,40,973.61,38944.4,error: undefined method `first' for nil:NilClass
